sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,cd_fac,cd_range,value,stats_year,raw_d_year,pop_year
11110,종로구,Jongno-gu,11,서울특별시,Seoul,1,0.750,92898,2022,202210,202210
11140,중구,Jung-gu,11,서울특별시,Seoul,1,0.750,108295,2022,202210,202210
11170,용산구,Yongsan-gu,11,서울특별시,Seoul,1,0.750,133566,2022,202210,202210
11200,성동구,Seongdong-gu,11,서울특별시,Seoul,1,0.750,192946,2022,202210,202210
11215,광진구,Gwangjin-gu,11,서울특별시,Seoul,1,0.750,256088,2022,202210,202210
11230,동대문구,Dongdaemun-gu,11,서울특별시,Seoul,1,0.750,256093,2022,202210,202210
11260,중랑구,Jungnang-gu,11,서울특별시,Seoul,1,0.750,306439,2022,202210,202210
11290,성북구,Seongbuk-gu,11,서울특별시,Seoul,1,0.750,179386,2022,202210,202210
11305,강북구,Gangbuk-gu,11,서울특별시,Seoul,1,0.750,236823,2022,202210,202210
11320,도봉구,Dobong-gu,11,서울특별시,Seoul,1,0.750,247139,2022,202210,202210
11350,노원구,Nowon-gu,11,서울특별시,Seoul,1,0.750,431225,2022,202210,202210
11380,은평구,Eunpyeong-gu,11,서울특별시,Seoul,1,0.750,385007,2022,202210,202210
11410,서대문구,Seodaemun-gu,11,서울특별시,Seoul,1,0.750,225756,2022,202210,202210
11440,마포구,Mapo-gu,11,서울특별시,Seoul,1,0.750,284826,2022,202210,202210
11470,양천구,Yangcheon-gu,11,서울특별시,Seoul,1,0.750,374480,2022,202210,202210
11500,강서구,Gangseo-gu,11,서울특별시,Seoul,1,0.750,547663,2022,202210,202210
11530,구로구,Guro-gu,11,서울특별시,Seoul,1,0.750,259385,2022,202210,202210
11545,금천구,Geumcheon-gu,11,서울특별시,Seoul,1,0.750,170541,2022,202210,202210
11560,영등포구,Yeongdeungpo-gu,11,서울특별시,Seoul,1,0.750,278124,2022,202210,202210
11590,동작구,Dongjak-gu,11,서울특별시,Seoul,1,0.750,294936,2022,202210,202210
11620,관악구,Gwanak-gu,11,서울특별시,Seoul,1,0.750,423483,2022,202210,202210
11650,서초구,Seocho-gu,11,서울특별시,Seoul,1,0.750,263453,2022,202210,202210
11680,강남구,Gangnam-gu,11,서울특별시,Seoul,1,0.750,340388,2022,202210,202210
11710,송파구,Songpa-gu,11,서울특별시,Seoul,1,0.750,529738,2022,202210,202210
11740,강동구,Gangdong-gu,11,서울특별시,Seoul,1,0.750,400224,2022,202210,202210
26110,중구,Jung-gu,26,부산광역시,Busan,1,0.750,0,2022,202210,202210
26140,서구,Seo-gu,26,부산광역시,Busan,1,0.750,8202,2022,202210,202210
26170,동구,Dong-gu,26,부산광역시,Busan,1,0.750,4200,2022,202210,202210
26200,영도구,Yeongdo-gu,26,부산광역시,Busan,1,0.750,20981,2022,202210,202210
26230,부산진구,Busanjin-gu,26,부산광역시,Busan,1,0.750,114134,2022,202210,202210
26260,동래구,Dongnae-gu,26,부산광역시,Busan,1,0.750,147800,2022,202210,202210
26290,남구,Nam-gu,26,부산광역시,Busan,1,0.750,98398,2022,202210,202210
26320,북구,Buk-gu,26,부산광역시,Busan,1,0.750,224058,2022,202210,202210
26350,해운대구,Haeundae-gu,26,부산광역시,Busan,1,0.750,252281,2022,202210,202210
