도시명,공원보유시설(운동시설)_count,공원보유시설(유희시설)_count,공원보유시설(편익시설)_count,공원보유시설(교양시설)_count,공원보유시설(기타시설)_count
대구광역시,143,584,364,18,15
광주광역시,713,376,94,23,1163
대전광역시,699,401,288,28,572
부산광역시,1209,538,169,33,8598
서울특별시,1694,1289,1773,45,85
세종특별자치시,246,66,116,5,54
울산광역시,472,439,1693,22,121
인천광역시,450,770,448,80,167
강릉시,0,0,0,0,0
동해시,0,0,0,0,0
삼척시,6,58,0,0,98
속초시,16,70,68,0,2
원주시,212,292,42,28,20
춘천시,0,0,0,0,0
태백시,0,88,12,0,14
고양시,219,335,91,4,1
과천시,35,15,14,6,42
광명시,0,0,21,1,11
광주시,36,54,17,0,18
구리시,55,46,21,0,4
군포시,0,0,0,0,0
김포시,139,123,55,5,3
남양주시,0,0,0,0,0
동두천시,0,0,0,0,0
부천시,121,538,102,8,0
성남시,218,150,330,50,21
수원시,192,318,138,11,55
시흥시,63,126,37,6,0
안산시,179,320,102,57,70
안성시,0,0,0,0,0
안양시,0,0,0,0,0
양주시,97,119,253,0,2
여주시,25,24,34,4,1
오산시,27,57,14,5,6
용인시,0,0,0,0,0
의왕시,47,52,17,2,15
의정부시,266,180,24,4,214
이천시,35,40,15,3,1
파주시,56,110,26,6,32
평택시,1821,918,280,4,1279
포천시,60,55,9,4,0
하남시,0,0,0,0,0
화성시,0,0,0,0,0
거제시,39,49,12,0,0
김해시,34,140,28,5,16
밀양시,0,2,4,0,0
사천시,30,10,0,0,0
양산시,134,88,190,22,140
진주시,19,163,32,5,12
창원시,0,0,0,0,0
통영시,4,14,13,4,1
경산시,509,267,39,2,444
경주시,51,42,17,0,0
구미시,147,144,162,0,152
김천시,0,0,0,0,0
문경시,26,29,39,1,29
상주시,7,17,8,0,1
안동시,54,45,300,52,198
영주시,0,0,0,0,0
영천시,42,38,62,3,105
포항시,171,208,199,5,7
광양시,6,179,41,0,0
나주시,27,30,60,3,4
목포시,37,63,28,6,508
순천시,28,90,46,16,12
여수시,31,83,18,4,140
군산시,142,2,82,10,220
김제시,0,0,0,0,0
남원시,50,68,160,0,24
익산시,44,46,82,22,88
전주시,478,406,696,2,56
정읍시,60,24,344,4,0
서귀포시,160,78,91,7,3
제주시,1700,482,3238,11,9
계룡시,218,24,382,4,424
공주시,3,31,5,35,68
논산시,0,0,0,0,0
당진시,0,0,0,0,0
보령시,291,117,364,2,85
서산시,21,89,179,0,8
아산시,664,311,2892,3,54
천안시,166,261,30,0,0
제천시,65,90,30,4,198
청주시,0,0,0,0,0
충주시,309,132,27,5,628
