시/도,도시명,도시 총 인구,도시공원에서 0.75km 거주민(명),"점수
(도시공원 인근주민 / 총 인구)",순위
"광역시, 특별시",대구광역시,"2,363,691",1573167,67,27
,광주광역시,"1,431,050",1019609,71,15
,대전광역시,"1,446,072",1092084,76,7
,부산광역시,"3,367,246",1738929,52,47
,서울특별시,"9,428,372",7218902,77,5
,세종특별자치시,"383,591",194112,51,48
,울산광역시,"1,110,663",816851,74,10
,인천광역시,"2,967,314",2104299,71,16
강원도,강릉시,"214,011",85973,40,65
,동해시,"90,261",45054,50,51
,삼척시,"64,203",25030,39,67
,속초시,"84,011",53686,64,33
,원주시,"364,891",134497,37,72
,춘천시,"290,797",179319,62,35
,태백시,"39,726",10667,27,80
경기도,고양시,"1,088,153",715155,66,29
,과천시,"78,329",36831,47,55
,광명시,"291,160",229290,79,4
,광주시,"402,764",80009,20,84
,구리시,"190,210",143528,75,8
,군포시,"271,745",222961,82,2
,김포시,"504,107",298107,59,39
,남양주시,"745,116",395227,53,45
,동두천시,"95,100",64915,68,24
,부천시,"814,315",735112,90,1
,성남시,"936,989",466478,50,52
,수원시,"1,225,058",992251,81,3
,시흥시,"546,051",374525,69,23
,안산시,"690,777",514997,75,9
,안성시,"200,932",96258,48,54
,안양시,"554,347",404429,73,12
,양주시,"250,920",94745,38,70
,여주시,"116,652",28189,24,83
,오산시,"238,418",167438,70,19
,용인시,"1,092,294",595132,54,42
,의왕시,"161,204",104401,65,30
,의정부시,"468,659",323977,69,21
,이천시,"230,134",84494,37,73
,파주시,"507,448",193013,38,68
,평택시,"603,780",387402,64,32
,포천시,"160,066",39614,25,82
,하남시,"328,393",232583,71,17
,화성시,"949,187",433862,46,59
경상남도,거제시,"242,523",122349,50,49
,김해시,"553,040",310548,56,40
,밀양시,"105,959",40075,38,69
,사천시,"112,496",20840,19,85
,양산시,"359,912",248035,69,22
,진주시,"348,690",189908,54,43
,창원시,"1,035,475",722232,70,20
,통영시,"126,669",46982,37,71
경상북도,경산시,"279,717",197160,70,18
,경주시,"259,554",111813,43,63
,구미시,"413,100",280138,68,25
,김천시,"142,112",55728,39,66
,문경시,"71,061",31852,45,61
,상주시,"96,158",28070,29,79
,안동시,"156,173",78781,50,50
,영주시,"101,724",47149,46,58
,영천시,"103,932",30616,29,78
,포항시,"503,003",299108,59,38
전라남도,광양시,"153,929",112716,73,11
,나주시,"119,553",43228,36,74
,목포시,"220,447",168020,76,6
,순천시,"281,250",169317,60,37
,여수시,"280,449",137639,49,53
전라북도,군산시,"269,270",181814,68,26
,김제시,"83,628",24981,30,77
,남원시,"78,910",25118,32,76
,익산시,"278,815",151946,54,41
,전주시,"661,259",480529,73,13
,정읍시,"107,781",46734,43,62
제주특별자치도,서귀포시,"192,157",50245,26,81
,제주시,"507,594",272400,54,44
충청남도,계룡시,"44,475",28750,65,31
,공주시,"102,571",36656,36,75
,논산시,"112,617",47252,42,64
,당진시,"168,253",78554,47,57
,보령시,"97,157",45659,47,56
,서산시,"176,413",92315,52,46
,아산시,"334,539",150504,45,60
,천안시,"657,559",432616,66,28
충청북도,제천시,"132,637",82953,63,34
,청주시,"863,625",618970,72,14
,충주시,"213,337",129817,61,36
