도,도시명,도시공원면적(㎡),도시공원 수,도시면적(k㎡),도시면적(㎡),평균도시공원크기,공원부지비율,"공원부지비율
점수","평균도시공원 
크기 점수","총 합산 점수
(값1 + 값2) / 2 ",순위,"공원부지비율
최대/최소","평균도시공원크기 
최대/최소"
"광역시, 특별시",대구광역시,17887002.5,643,801.03,801030000,2.781804432,2.233000325,10,19,15,33,MAX,MAX
,광주광역시,12837083.8,525,479.89,479890000,2.445158819,2.67500548,12,16,14,36,21.30048405,12.9659619
,대전광역시,14691353.5,454,496.12,496120000,3.235980947,2.96125,14,23,18,23,MIN,MIN
,부산광역시,31016085.8,705,940.84,940840000,4.399444794,3.296637664,15,32,23,14,0.0171912936,0.3778860377
,서울특별시,98474779.5,1898,605.67,605670000,5.188344547,16.25881743,76,38,57,2,,
,세종특별자치시,1313251,99,141.83,141830000,1.326516162,0.9259331594,4,8,6,68,,
,울산광역시,21729413.6,467,764.12,764120000,4.652979358,2.843717427,13,34,23,13,,
,인천광역시,28688653,744,527.85,527850000,3.856001747,5.435001042,25,28,26,11,,
강원도,강릉시,2377629.6,172,1040.83,1040830000,1.382342791,0.2284359213,1,8,4,73,,
,동해시,82550,10,180.31,180310000,0.8255,0.04578226388,0,4,2,80,,
,삼척시,881992,46,1187.84,1187840000,1.917373913,0.07425175108,0,12,6,64,,
,속초시,1641724,90,105.75,105750000,1.824137778,1.552457683,7,11,9,51,,
,원주시,2162096,186,868.29,868290000,1.162417204,0.2490062076,1,6,4,74,,
,춘천시,14469404,278,1116.42,1116420000,5.204821583,1.296053815,6,38,22,15,,
,태백시,5445704,42,303.44,303440000,12.9659619,1.794655945,8,100,54,3,,
경기도,고양시,6932758.3,253,268.13,268130000,2.740220672,2.585595905,12,19,15,31,,
,과천시,315666,19,35.87,35870000,1.6614,0.8800278784,4,10,7,59,,
,광명시,3397531,86,38.52,38520000,3.950617442,8.820173936,41,28,35,10,,
,광주시,797427.1,57,430.99,430990000,1.398994912,0.1850221815,1,8,5,72,,
,구리시,912756.3,61,33.34,33340000,1.496321803,2.737721356,13,9,11,48,,
,군포시,1455419.2,122,36.42,36420000,1.192966557,3.996208677,19,6,13,41,,
,김포시,5456931,189,276.6,276600000,2.887265079,1.972860087,9,20,14,34,,
,남양주시,4770408,170,458.13,458130000,2.806122353,1.04127824,5,19,12,43,,
,동두천시,3649712,40,95.67,95670000,9.12428,3.814897042,18,69,44,5,,
,부천시,2920135.3,192,53.46,53460000,1.520903802,5.462280771,26,9,18,24,,
,성남시,11087868.1,204,141.63,141630000,5.435229461,7.82875669,37,40,39,7,,
,수원시,7073890.5,332,121.1,121100000,2.13068991,5.841362923,27,14,20,18,,
,시흥시,4250221,141,139.94,139940000,3.014341135,3.037173789,14,21,17,25,,
,안산시,6178414.4,213,156.47,156470000,2.900664038,3.948625551,18,20,19,20,,
,안성시,880564,54,553.51,553510000,1.630674074,0.1590872794,1,10,5,69,,
,안양시,1955853,150,58.5,58500000,1.303902,3.343338462,16,7,12,46,,
,양주시,6776765,266,310.49,310490000,2.547656015,2.182603304,10,17,14,37,,
,여주시,350087.9,22,608.21,608210000,1.591308636,0.05756036566,0,10,5,71,,
,오산시,2271088,118,42.69,42690000,1.924650847,5.319953151,25,12,19,22,,
,용인시,7381371,279,591.25,591250000,2.645652688,1.248434841,6,18,12,45,,
,의왕시,2161464.2,78,54.03,54030000,2.771107949,4.000488988,19,19,19,21,,
,의정부시,2249788.5,107,81.55,81550000,2.102606075,2.758784181,13,14,13,38,,
