도시명,행정구역,동,면적,도시공원 면적,도시,gini,점수,순위
대구광역시,중구,동인동,0.99,85018,대구광역시,0.5595174412,44,31
대구광역시,중구,삼덕동,0.64,0,광주광역시,0.2876059959,71,14
대구광역시,중구,성내동,2.45,348276.1,대전광역시,0.341127211,66,15
대구광역시,중구,대신동,0.52,559,부산광역시,0.5096879009,49,25
대구광역시,중구,대봉동,0.84,2452,서울특별시,0.6551567818,34,37
대구광역시,중구,남산동,1.62,168610,세종특별자치시,0.7344024021,27,51
대구광역시,동구,신암동,3.26,164260.8,울산광역시,0.4913446179,51,24
대구광역시,동구,신천동,1.96,52708,인천광역시,0.5573967281,44,30
대구광역시,동구,공산동,83.8,137303.8,강릉시,0.6897097839,31,45
대구광역시,동구,효목동,2.09,102990.6,동해시,0.6787656328,32,43
대구광역시,동구,혁신동,16.42,367325.7,삼척시,0.8127979912,19,73
대구광역시,동구,도평동,20.73,627573,속초시,0.5299357746,47,27
대구광역시,동구,불로봉무동,7.78,646076.6,원주시,0.7536162038,25,58
대구광역시,동구,안심동,25.57,605292.6,춘천시,0.7717096586,23,63
대구광역시,동구,해안동,13.3,0,태백시,0.7673574569,23,60
대구광역시,동구,지저동,2.17,0,고양시,0.3674357221,63,17
대구광역시,동구,동촌동,3.81,76027.5,과천시,0.2850346702,71,12
대구광역시,동구,방촌동,1.26,0,광명시,0.4225760314,58,20
대구광역시,서구,이천동,1.09,0,광주시,0.7705001786,23,62
대구광역시,서구,봉덕동,6.24,3250.4,구리시,0.2857699476,71,13
대구광역시,서구,대명동,10.1,3638935.5,군포시,0.7479640124,25,57
대구광역시,남구,내당동,1.87,26908.1,김포시,0.5118696231,49,26
대구광역시,남구,비산동,4.81,10100,남양주시,0.4138713426,59,19
대구광역시,남구,평리동,3.33,26781,동두천시,0,100,1
대구광역시,남구,상중이동,6.71,116250,부천시,0.1808404212,82,9
대구광역시,남구,원대동,0.6,2025,성남시,0.3527534373,65,16
대구광역시,북구,고성동,0.53,0,수원시,0.2492125202,75,11
대구광역시,북구,칠성동,1.33,3312,시흥시,0.7930301268,21,69
대구광역시,북구,침산동,3.3,119062,안산시,0.07253987327,93,3
대구광역시,북구,산격동,4.74,480527.1,안성시,0.7808994228,22,65
대구광역시,북구,대현동,1.22,3063.9,안양시,0.1798327991,82,8
대구광역시,북구,복현동,2.25,15576,양주시,0.7764027636,22,64
대구광역시,북구,검단동,3.81,0,여주시,0.8411523562,16,76
대구광역시,북구,노원동,3.09,6360.3,오산시,0.4292426077,57,21
대구광역시,북구,무태조야동,23.25,80665.8,용인시,0.1108613765,89,6
대구광역시,북구,관문동,14.63,75118.6,의왕시,0.5537723791,45,29
대구광역시,북구,태전동,4.41,156272,의정부시,0.4634894256,54,23
대구광역시,북구,구암동,4.41,64304,이천시,0.8844072421,12,82
대구광역시,북구,관음동,3,79277.1,파주시,0.7315200708,27,50
대구광역시,북구,국우동,17.19,30006.3,평택시,0.1783404159,82,7
대구광역시,북구,읍내동,5.71,10993308,포천시,0.7468166002,25,55
대구광역시,북구,동천동,1.12,20250,하남시,0.7818954757,22,66
대구광역시,수성구,범어동,11.64,201926,화성시,0.6666148586,33,39
대구광역시,수성구,만촌동,6.28,58624,거제시,0.6704894604,33,40
대구광역시,수성구,수성가동,1.86,0,김해시,0.6039241652,40,32
대구광역시,수성구,황금동,3.85,2000,밀양시,0.6827122974,32,44
대구광역시,수성구,중동,0.91,10738,사천시,0.6923342864,31,47
대구광역시,수성구,상동,1.33,415747,양산시,0.7412401479,26,54
대구광역시,수성구,파동,5.82,0,진주시,0.7680070899,23,61
대구광역시,수성구,두산동,1.97,17613.1,창원시,0.219934424,78,10
대구광역시,수성구,지산동,4.61,215279,통영시,0.7247007905,28,48
대구광역시,수성구,범물동,7.7,22161.6,경산시,0.6179591395,38,34
대구광역시,수성구,고산동,38.27,96572.1,경주시,0.8435823926,16,77
대구광역시,달서구,성당동,1.99,6448.6,구미시,0.7384283766,26,52
대구광역시,달서구,두류동,2.45,1662562.5,김천시,0.8812902547,12,81
대구광역시,달서구,본리동,1.09,34304.2,문경시,0.8870027156,11,83
대구광역시,달서구,감삼동,1.18,6792.4,상주시,0.8389944524,16,75
대구광역시,달서구,죽전동,0.74,327564,안동시,0.8076224314,19,72
대구광역시,달서구,장기동,3.11,405351,영주시,0.6773932496,32,42
대구광역시,달서구,용산동,2.61,3538.1,영천시,0.8488507759,15,79
대구광역시,달서구,이곡동,3.86,215126.9,포항시,0.7308052196,27,49
대구광역시,달서구,신당동,9.33,243040.4,광양시,0.7846389905,22,67
대구광역시,달서구,월성동,8.48,745860.9,나주시,0.8199185211,18,74
대구광역시,달서구,진천동,5.11,12270,목포시,0.7624479977,24,59
대구광역시,달서구,유천동,1.25,1680,순천시,0.74742738,25,56
대구광역시,달서구,상인동,5.87,67469.3,여수시,0.7985328101,20,71
대구광역시,달서구,도원동,10.65,494,군산시,0.875426666,12,80
대구광역시,달서구,장동,1.4,106315,김제시,0.9415007445,6,85
대구광역시,달서구,본동,1.1,84081.5,남원시,0.8453623563,15,78
대구광역시,달서구,송현동,3.43,73584,익산시,0.6116948015,39,33
대구광역시,달성군,화원읍,27.68,513004,전주시,0.02053707775,98,2
대구광역시,달성군,논공읍,43.89,245686,정읍시,0.9227584716,8,84
대구광역시,달성군,다사읍,36.68,358395.1,서귀포시,0.6722505618,33,41
대구광역시,달성군,유가읍,57.25,625063.5,제주시,0.6515879008,35,36
대구광역시,달성군,옥포읍,48.92,146227,계룡시,0.4414134975,56,22
대구광역시,달성군,현풍읍,24.57,101973,공주시,0.3754494827,62,18
대구광역시,달성군,가창면,111.33,3000,논산시,0.6610682651,34,38
