도,도시명,"공원투자예산
(2024)","공원투자예산
(2023)","공원투자예산
(2022)",총예산(2024),총예산(2023),총예산(2022),도시공원투자비용/총비용,"100점이 넘을 경우
100점으로 환산",순위,부서
"광역시, 특별시",대구광역시,"30,431,074","94,297,364","170,417,072","10,587,194,000","10,730,765,000","10,144,400,000",94,94,49,공원조성과과
,광주광역시,"122,076,104","98,102,845","71,629,355","6,904,221,482","7,110,179,032","7,009,427,226",139,100,1,도시공원과
,대전광역시,"32,390,842","39,816,691","41,133,719","6,532,974,000","6,561,725,000","6,365,186,000",58,58,68,공원관리사업소
,부산광역시,"167,218,029","43,233,646","35,578,916","15,699,527,956","15,327,743,441","14,269,024,509",54,54,71,공원정책과
,서울특별시,"445,413,563","545,292,134","556,695,518","45,740,517,556","47,190,512,274","44,219,048,802",113,100,1,푸른도시여가국
,세종특별자치시,"15,810,810","18,221,732","16,193,946","1,905,977,882","2,002,807,077","1,921,327,954",86,86,54,환경녹지국
,울산광역시,"41,256,071","47,998,860","43,298,409","4,793,293,135","4,605,899,320","4,410,391,640",96,96,47,녹지공원과
,인천광역시,"87,470,177","72,818,810","73,535,691","15,036,805,037","13,915,675,070","13,144,171,650",56,56,69,도시균형국
강원도,강릉시,"10,750,271","11,890,768","3,445,632","1,429,732,372","1,459,890,198","1,301,738,671",62,62,64,녹지과
,동해시,"2,565,131","4,148,680","2,958,390","502,485,348","514,010,814","508,552,752",63,63,63,녹지과
,삼척시,"728,428","688,736","637,100","672,060,539","622,087,495","608,120,709",11,11,85,도시과
,속초시,"593,134","2,779,937","372,219","495,974,070","495,555,691","475,148,332",26,26,81,공원녹지과
,원주시,"9,113,342","9,082,349","14,321,762","1,674,176,371","1,587,030,650","1,535,184,770",68,68,62,공원녹지과
,춘천시,"22,023,071","20,714,703","12,279,998","1,619,863,113","1,600,664,166","1,497,639,298",117,100,1,녹지공원과
,태백시,"660,229","704,879","385,290","519,659,743","512,568,974","398,992,643",12,12,84,산림과
경기도,고양시,"33,746,756","36,996,800","35,746,741","3,166,693,946","2,996,334,312","3,072,367,856",115,100,1,푸른도시사업소 녹지과
,과천시,"64,073,130","31,544,896","10,947,570","464,169,537","383,229,345","399,087,726",855,100,1,공원녹지과
,광명시,"16,439,580","13,637,533","14,210,377","1,063,491,819","1,053,536,534","957,817,774",144,100,1,정원도시과
,광주시,"12,259,274","18,720,728","4,431,763","1,516,355,263","1,330,893,953","1,492,543,247",82,82,56,공원정책과
,구리시,"21,163,603","18,194,708","18,329,542","737,883,524","694,524,382","707,333,886",270,100,1,공원녹지과
,군포시,"6,428,263","11,379,464","10,368,351","771,747,970","755,203,125","724,776,769",125,100,1,생태공원녹지과
,김포시,"28,706,128","38,763,938","43,863,066","1,559,164,162","1,610,327,143","1,521,245,487",237,100,1,"공원녹지과, 공원관리과"
,남양주시,"21,358,615","30,706,350","25,885,920","2,227,864,777","2,171,445,989","2,071,839,330",120,100,1,"공원조성과, 공원관리과"
,동두천시,"13,077,773","10,038,758","11,072,543","574,218,356","576,516,207","548,918,170",201,100,1,공원녹지과
,부천시,"25,302,624","24,478,355","20,631,830","2,195,532,414","2,146,157,204","2,056,282,516",110,100,1,"공원조성과, 공원관리과"
,성남시,"57,826,341","128,421,577","46,212,348","3,540,162,018","3,440,533,516","3,263,922,826",227,100,1,푸른도시사업소-공원과
,수원시,"47,148,275","52,865,247","58,856,822","3,074,072,335","3,072,025,077","2,877,428,118",176,100,1,공원관리과
,시흥시,"16,835,742","19,065,341","12,807,334","1,624,110,856","1,538,272,604","1,502,075,468",104,100,1,"환경국-공원과,녹지과"
,안산시,"24,891,500","19,716,860","23,241,236","2,161,762,232","2,020,285,383","2,008,870,337",110,100,1,도시디자인국-공원과
,안성시,"3,695,713","3,874,202","8,523,434","1,173,814,119","1,159,018,238","1,166,243,351",46,46,75,주거환경국-산림녹지과
,안양시,"21,147,012","13,807,238","12,785,980","1,805,967,263","1,699,394,921","1,739,048,361",91,91,51,"공원관리과, 만안 교통녹지과, 동안교통녹지과 "
,양주시,"13,452,614","13,009,403","13,062,471","1,118,190,634","1,083,624,914","1,053,407,099",121,100,1,도시환경사업소-공원사업과
,여주시,"5,316,030","4,489,768","7,564,764","1,037,278,109","961,352,474","889,853,765",60,60,65,문화경제국-산림공원과
,오산시,"13,683,331","11,531,026","12,180,668","762,408,360","731,096,104","698,689,603",171,100,1,생태공원녹지과
,용인시,"20,403,066","38,421,379","23,422,382","3,237,738,796","3,214,678,574","2,987,142,142",87,87,53,푸른공원사업소
,의왕시,"9,908,842","12,684,642","12,097,880","608,351,156","592,443,921","556,282,317",197,100,1,경제환경국-공원녹지과
,의정부시,"3,421,091","9,486,721","10,112,216","1,376,887,152","1,388,171,609","1,399,253,259",55,55,70,생태도시사업소-공원과
,이천시,"13,153,424","13,918,325","6,384,598","1,079,128,129","1,045,310,757","992,084,016",107,100,1,경제문화국-공원녹지과
,파주시,"12,559,335","19,528,557","27,283,770","2,006,988,666","2,272,661,755","2,261,523,977",91,91,51,푸른환경사업본부-공원과
,평택시,"37,147,748","34,296,602","20,321,469","2,293,649,529","2,241,973,777","2,015,649,298",140,100,1,푸른도시사업소-공원과
,포천시,"6,472,399","7,096,032","5,968,240","981,549,795","959,682,365","896,381,634",69,69,61,복지환경국-생태공원과
,하남시,"14,741,758","15,709,673","13,601,477","941,336,250","873,910,433","772,537,110",170,100,1,안전환경국-공원녹지과
,화성시,"54,149,934","84,733,142","50,380,662","3,184,984,614","3,123,170,205","2,948,099,590",204,100,1,공원녹지사업소
경상남도,거제시,"10,542,625","9,556,288","5,437,210","1,265,394,390","1,208,169,726","1,125,101,530",71,71,59,문화관광국-공원과
,김해시,"8,240,591","26,744,099","2,096,749","2,127,147,352","2,124,416,552","1,967,887,739",60,60,65,공원녹지과
,밀양시,"13,114,708","10,355,096","9,424,034","1,081,533,667","1,066,473,407","941,268,603",106,100,1,산림녹지과
,사천시,"20,180,656","11,521,549","12,593,911","931,786,489","903,364,513","825,068,870",167,100,1,녹지공원과
,양산시,"17,548,179","12,048,626","26,181,296","1,676,747,521","1,658,045,705","1,543,413,370",114,100,1,환경녹지국-공원과
